session_idx,user_id_hash,start_utc,duration_min,event_count,distinct_workflows,analytical_workflows,workflows_invoked
1,37a8eec1,2026-02-16T05:12:47.881558+00:00,58.3,122,7,3,security-audit code-review security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep security-audit code-review test-gen code-review dependency-check document-manager bug-predict security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep
2,37a8eec1,2026-02-16T07:01:17.866419+00:00,10.5,46,7,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep
3,37a8eec1,2026-02-16T11:54:42.316815+00:00,11.0,46,7,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep
4,37a8eec1,2026-02-16T14:14:33.256741+00:00,4.2,16,2,2,code-review bug-predict code-review bug-predict code-review
5,37a8eec1,2026-02-16T19:38:24.999763+00:00,11.5,46,7,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep
6,37a8eec1,2026-02-17T06:39:29.005860+00:00,0.0,6,1,1,code-review
7,37a8eec1,2026-02-17T23:54:01.636371+00:00,0.4,5,1,1,code-review
8,37a8eec1,2026-02-18T04:16:33.813224+00:00,69.1,258,7,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check security-audit code-review test-gen code-review dependency-check document-manager bug-predict security-audit code-review bug-predict dependency-check test-gen code-review dependency-check release-prep dependency-check document-manager bug-predict security-audit code-review bug-predict dependency-check test-gen code-review dependency-check release-prep dependency-check document-manager bug-predict dependency-check security-audit code-review dependency-check test-gen code-review dependency-check release-prep dependency-check document-manager security-audit code-review test-gen code-review dependency-check document-manager security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep
9,37a8eec1,2026-02-18T09:05:07.297542+00:00,14.1,46,7,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep
10,37a8eec1,2026-02-18T11:36:21.221773+00:00,14.4,46,7,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep
11,37a8eec1,2026-02-18T15:38:08.204351+00:00,19.3,92,7,3,security-audit code-review test-gen code-review dependency-check security-audit code-review dependency-check test-gen code-review dependency-check document-manager dependency-check document-manager bug-predict dependency-check bug-predict dependency-check release-prep
12,37a8eec1,2026-02-19T21:24:28.979815+00:00,5.0,23,5,2,security-audit code-review test-gen code-review dependency-check document-manager
13,37a8eec1,2026-02-19T23:26:46.552918+00:00,43.6,61,3,2,security-audit code-review security-audit code-review test-gen code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review
14,37a8eec1,2026-02-20T00:43:58.547012+00:00,14.7,99,5,2,security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review test-gen code-review security-audit code-review test-gen security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review test-gen code-review test-gen code-review dependency-check document-manager dependency-check document-manager dependency-check security-audit code-review dependency-check document-manager security-audit code-review test-gen code-review dependency-check document-manager security-audit code-review
15,37a8eec1,2026-02-20T05:53:48.754671+00:00,46.5,135,5,2,security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review document-manager security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review test-gen code-review dependency-check document-manager dependency-check security-audit code-review dependency-check security-audit code-review security-audit code-review test-gen code-review dependency-check document-manager security-audit code-review test-gen code-review dependency-check document-manager security-audit code-review test-gen code-review dependency-check document-manager security-audit code-review test-gen code-review dependency-check document-manager security-audit code-review test-gen code-review dependency-check document-manager
16,37a8eec1,2026-02-20T07:12:15.745236+00:00,77.3,105,5,2,security-audit code-review security-audit code-review test-gen code-review document-manager dependency-check security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review test-gen code-review dependency-check security-audit code-review test-gen code-review dependency-check document-manager security-audit code-review security-audit code-review test-gen code-review dependency-check document-manager security-audit code-review test-gen code-review dependency-check document-manager
17,37a8eec1,2026-02-20T13:35:18.485296+00:00,57.1,109,7,3,security-audit code-review test-gen code-review dependency-check document-manager security-audit code-review security-audit code-review test-gen code-review dependency-check document-manager security-audit code-review test-gen code-review dependency-check document-manager security-audit code-review test-gen code-review dependency-check document-manager security-audit code-review security-audit code-review test-gen code-review dependency-check document-manager bug-predict test-gen code-review bug-predict dependency-check document-manager dependency-check release-prep
18,37a8eec1,2026-02-20T19:15:04.702701+00:00,0.1,5,1,1,code-review
19,37a8eec1,2026-02-20T19:52:11.415609+00:00,16.6,32,5,2,security-audit code-review security-audit code-review security-audit code-review test-gen code-review dependency-check document-manager security-audit code-review test-gen code-review dependency-check document-manager
20,37a8eec1,2026-02-20T22:38:14.866296+00:00,24.8,76,7,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep security-audit code-review security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep
21,37a8eec1,2026-02-21T08:11:06.654106+00:00,93.5,97,6,3,security-audit code-review test-gen code-review dependency-check document-manager security-audit code-review test-gen code-review dependency-check document-manager bug-predict security-audit code-review bug-predict test-gen code-review dependency-check document-manager security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check security-audit code-review test-gen code-review dependency-check document-manager security-audit code-review security-audit code-review
22,37a8eec1,2026-02-21T10:50:47.099699+00:00,2.3,4,2,2,security-audit code-review security-audit code-review
23,37a8eec1,2026-02-21T11:33:51.772765+00:00,34.5,91,7,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep
24,37a8eec1,2026-02-21T19:23:17.910458+00:00,4.6,15,6,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict
25,37a8eec1,2026-02-21T20:33:43.132756+00:00,0.2,5,1,1,perf-audit
26,37a8eec1,2026-02-21T22:08:33.130261+00:00,11.1,37,7,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep
27,37a8eec1,2026-02-22T20:41:11.213559+00:00,11.2,37,7,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep
28,37a8eec1,2026-02-22T23:02:25.741675+00:00,28.4,47,8,4,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep perf-audit
29,37a8eec1,2026-02-23T03:52:04.112077+00:00,27.8,74,7,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep
30,37a8eec1,2026-02-23T06:31:29.645795+00:00,12.3,46,6,3,security-audit code-review test-gen code-review dependency-check document-manager security-audit code-review bug-predict dependency-check security-audit code-review test-gen code-review dependency-check document-manager
31,37a8eec1,2026-02-23T18:46:41.504095+00:00,1.0,12,4,1,test-gen code-review dependency-check document-manager
32,37a8eec1,2026-02-23T19:30:25.102550+00:00,60.8,127,7,3,security-audit code-review security-audit code-review security-audit code-review security-audit code-review security-audit code-review test-gen security-audit code-review security-audit code-review dependency-check document-manager security-audit code-review security-audit code-review security-audit code-review bug-predict security-audit code-review bug-predict security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep
33,37a8eec1,2026-02-23T22:29:11.472995+00:00,27.8,62,6,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict security-audit code-review test-gen code-review dependency-check document-manager security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check
34,37a8eec1,2026-02-24T00:41:24.975630+00:00,42.6,74,7,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep
35,37a8eec1,2026-02-24T04:56:08.966252+00:00,28.2,39,6,3,code-review security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check
36,37a8eec1,2026-02-24T12:15:41.817234+00:00,10.6,17,4,2,code-review security-audit dependency-check release-prep
37,37a8eec1,2026-02-24T12:58:13.839387+00:00,12.4,37,7,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep
38,37a8eec1,2026-02-24T16:48:23.615077+00:00,11.9,37,7,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep
39,37a8eec1,2026-02-24T17:36:13.475745+00:00,11.1,37,7,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep
40,37a8eec1,2026-02-24T18:54:58.303479+00:00,41.5,108,7,3,security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check release-prep security-audit code-review test-gen code-review dependency-check document-manager bug-predict dependency-check
