package,feature,current_content_shape,lines,target_subtype
attune-ai,agents,tabular-classes-and-functions,99,tabular
attune-ai,bug-predict,tabular-classes-and-functions,52,procedural
attune-ai,cli,tabular-classes-and-functions,148,tabular
attune-ai,code-quality,tabular-with-classes,42,procedural
attune-ai,configuration,tabular-classes-and-functions,108,tabular
attune-ai,deep-review,tabular-with-classes,36,procedural
attune-ai,doc-gen,tabular-with-classes,47,procedural
attune-ai,fix-test,tabular-classes-and-functions,126,procedural
attune-ai,help-system,tabular-classes-and-functions,178,free-form
attune-ai,hooks,tabular-classes-and-functions,113,tabular
attune-ai,mcp-server,tabular-classes-and-functions,116,tabular
attune-ai,memory,tabular-classes-and-functions,227,tabular
attune-ai,models,tabular-classes-and-functions,194,tabular
attune-ai,ops-dashboard,tabular-classes-and-functions,198,free-form
attune-ai,orchestration,tabular-classes-and-functions,136,tabular
attune-ai,plugin,tabular-classes-and-functions,76,free-form
attune-ai,rag-grounding,tabular-with-classes,40,free-form
attune-ai,refactor-plan,tabular-classes-and-functions,49,procedural
attune-ai,release-prep,tabular-with-classes,171,procedural
attune-ai,resilience,tabular-classes-and-functions,143,tabular
attune-ai,security-audit,tabular-classes-and-functions,223,procedural
attune-ai,smart-test,tabular-classes-and-functions,169,procedural
attune-ai,spec-engine,tabular-classes-and-functions,99,procedural
attune-ai,telemetry,tabular-classes-and-functions,243,tabular
attune-ai,wizards,tabular-classes-and-functions,109,tabular
attune-help,skill-attune-hub,subtype-aware-procedural,202,procedural
attune-help,skill-bug-predict,subtype-aware-procedural,240,procedural
attune-help,skill-coach,subtype-aware-procedural,221,procedural
attune-help,skill-code-quality,subtype-aware-procedural,183,procedural
attune-help,skill-doc-gen,subtype-aware-procedural,173,procedural
attune-help,skill-fix-test,subtype-aware-procedural,172,procedural
attune-help,skill-memory-and-context,subtype-aware-procedural,205,procedural
attune-help,skill-planning,subtype-aware-procedural,207,procedural
attune-help,skill-refactor-plan,subtype-aware-procedural,195,procedural
attune-help,skill-release-prep,subtype-aware-procedural,208,procedural
attune-help,skill-security-audit,subtype-aware-procedural,173,procedural
attune-help,skill-smart-test,subtype-aware-procedural,190,procedural
attune-help,skill-spec,subtype-aware-procedural,271,procedural
attune-help,skill-workflow-orchestration,subtype-aware-procedural,178,procedural
attune-help,task-api-endpoint-design,subtype-aware-unknown,408,free-form
attune-help,task-authentication-patterns,subtype-aware-unknown,417,free-form
attune-help,task-ci-cd-pipeline,subtype-aware-tabular,241,tabular
attune-help,task-code-migration,subtype-aware-unknown,243,ambiguous
attune-help,task-configuration-setup,subtype-aware-procedural,296,procedural
attune-help,task-cross-linking-strategy,subtype-aware-unknown,345,ambiguous
attune-help,task-database-migrations,subtype-aware-tabular,295,tabular
attune-help,task-debugging-sessions,subtype-aware-tabular,275,tabular
attune-help,task-dependency-management,subtype-aware-tabular,246,tabular
attune-help,task-error-handling-design,subtype-aware-unknown,255,free-form
attune-help,task-git-workflow,subtype-aware-unknown,159,ambiguous
attune-help,task-help-system-testing,subtype-aware-tabular,451,tabular
attune-help,task-logging-observability,subtype-aware-unknown,330,ambiguous
attune-help,task-package-publishing,subtype-aware-tabular,317,tabular
attune-help,task-precursor-warning-design,subtype-aware-tabular,210,tabular
attune-help,task-progressive-depth-design,subtype-aware-tabular,308,tabular
attune-help,task-socratic-discovery-patterns,subtype-aware-unknown,159,free-form
attune-help,task-template-design-patterns,subtype-aware-unknown,367,free-form
attune-help,task-template-migration,subtype-aware-unknown,256,ambiguous
attune-help,tool-analyze-batch,subtype-aware-tabular,29,tabular
attune-help,tool-analyze-image,subtype-aware-tabular,30,tabular
attune-help,tool-attune-get-level,subtype-aware-tabular,23,tabular
attune-help,tool-attune-set-level,subtype-aware-tabular,29,tabular
attune-help,tool-auth-recommend,subtype-aware-tabular,29,tabular
attune-help,tool-auth-status,subtype-aware-tabular,23,tabular
attune-help,tool-bug-predict,subtype-aware-tabular,29,tabular
attune-help,tool-code-review,subtype-aware-tabular,29,tabular
attune-help,tool-context-get,subtype-aware-tabular,29,tabular
attune-help,tool-context-set,subtype-aware-tabular,30,tabular
attune-help,tool-deep-review,subtype-aware-tabular,30,tabular
attune-help,tool-dependency-check,subtype-aware-tabular,29,tabular
attune-help,tool-doc-audit,subtype-aware-tabular,30,tabular
attune-help,tool-doc-gen,subtype-aware-tabular,31,tabular
attune-help,tool-doc-orchestrator,subtype-aware-tabular,30,tabular
attune-help,tool-health-check,subtype-aware-tabular,29,tabular
attune-help,tool-memory-forget,subtype-aware-tabular,30,tabular
attune-help,tool-memory-retrieve,subtype-aware-tabular,29,tabular
attune-help,tool-memory-search,subtype-aware-tabular,30,tabular
attune-help,tool-memory-store,subtype-aware-tabular,32,tabular
attune-help,tool-performance-audit,subtype-aware-tabular,29,tabular
attune-help,tool-refactor-plan,subtype-aware-tabular,29,tabular
attune-help,tool-release-prep,subtype-aware-tabular,29,tabular
attune-help,tool-research-synthesis,subtype-aware-tabular,30,tabular
attune-help,tool-secure-release,subtype-aware-tabular,29,tabular
attune-help,tool-security-audit,subtype-aware-tabular,29,tabular
attune-help,tool-simplify-code,subtype-aware-tabular,29,tabular
attune-help,tool-telemetry-stats,subtype-aware-tabular,29,tabular
attune-help,tool-test-audit,subtype-aware-tabular,29,tabular
attune-help,tool-test-gen-parallel,subtype-aware-tabular,30,tabular
attune-help,tool-test-generation,subtype-aware-tabular,30,tabular
attune-author,bootstrap,tabular-classes-and-functions,44,tabular
attune-author,cli,mostly-empty,32,ambiguous (lean: free-form)
attune-author,doc-gen-pipeline,tabular-classes-and-functions,58,procedural
attune-author,manifest,tabular-with-classes,45,tabular
attune-author,mcp-server,tabular-classes-and-functions,143,tabular
attune-author,polish,tabular-with-functions,44,tabular
attune-author,preamble,tabular-with-functions,27,tabular
attune-author,rag-hook,tabular-with-functions,41,tabular
attune-author,staleness-and-maintenance,tabular-classes-and-functions,49,tabular
attune-author,template-generation,tabular-classes-and-functions,58,tabular
attune-rag,benchmark,mostly-empty,27,ambiguous (lean: free-form)
attune-rag,cli,tabular-with-functions,28,tabular
attune-rag,corpus,tabular-with-classes,164,tabular
attune-rag,dashboard,tabular-with-functions,42,tabular
attune-rag,editor,tabular-classes-and-functions,300,tabular
attune-rag,eval,tabular-with-classes,104,tabular
attune-rag,expander,tabular-with-classes,52,tabular
attune-rag,pipeline,tabular-with-classes,85,tabular
attune-rag,prompts,tabular-with-functions,47,tabular
attune-rag,provenance,tabular-classes-and-functions,65,tabular
attune-rag,providers,tabular-classes-and-functions,86,tabular
attune-rag,reranker,tabular-with-classes,67,tabular
attune-rag,retrieval,tabular-with-classes,87,tabular
attune-gui,attune_gui-entry,mostly-empty,26,ambiguous (lean: free-form)
attune-gui,scripts,tabular-classes-and-functions,68,tabular
attune-gui,sidecar,tabular-classes-and-functions,671,tabular
attune-gui,template-editor,non-tabular,317,ambiguous
attune-gui,ui,non-tabular,16,ambiguous
